observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2020-08-09,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-08-09 00:00:00,0,,,,,,,
2020-01-21,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-01-21 00:00:00,0,,120.0,1.0,,-45.6,-48.6,
2019-12-04,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2019-12-04 00:00:00,0,,100.0,1.0,,-46.1,-48.1,
2020-02-26,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-02-26 15:00:00,15,2.0,160.0,2.0,,-12.1,-14.8,
2020-10-06,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-10-06 18:00:00,18,,,,,,,
2020-11-12,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-11-12 18:00:00,18,,,,,,,
2020-09-12,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-09-12 18:00:00,18,,100.0,2.0,,1.7,-0.2,
2021-10-19,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2021-10-19 15:00:00,15,,200.0,3.0,,-18.6,-20.8,
2020-08-19,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-08-19 18:00:00,18,,,,,,,
2021-04-22,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2021-04-22 03:00:00,3,,190.0,1.0,,-8.4,-14.8,
2020-11-05,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-11-05 12:00:00,12,,,,,,,
2020-12-31,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-12-31 21:00:00,21,,,,,,,
2021-07-05,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2021-07-05 00:00:00,0,,260.0,96.0,,23.0,17.4,
2021-01-12,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2021-01-12 06:00:00,6,,120.0,2.0,,-47.1,-49.6,
2020-04-24,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-04-24 03:00:00,3,2.0,310.0,1.0,,-1.6,-4.2,
2019-12-24,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2019-12-24 09:00:00,9,,120.0,1.0,,-35.9,-36.2,
2020-02-06,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-02-06 00:00:00,0,,140.0,1.0,,-45.2,-47.8,
2020-06-12,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-06-12 21:00:00,21,,190.0,1.0,,13.1,10.3,9.0
2020-09-14,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-09-14 06:00:00,6,,50.0,4.0,,11.4,4.3,
2021-02-07,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2021-02-07 06:00:00,6,,90.0,1.0,,-38.7,-43.0,
2021-03-10,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2021-03-10 00:00:00,0,71.0,160.0,1.0,,-25.7,-28.1,
2021-09-12,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2021-09-12 09:00:00,9,,180.0,1.0,,11.8,3.2,
2020-11-02,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-11-02 21:00:00,21,,170.0,2.0,,-24.6,-26.5,
2019-10-22,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2019-10-22 09:00:00,9,,180.0,1.0,,-12.2,-13.2,
2021-05-06,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2021-05-06 15:00:00,15,,,0.0,,-3.7,-5.4,
2020-02-28,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-02-28 03:00:00,3,2.0,180.0,4.0,,-11.9,-16.3,
2020-06-21,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2020-06-21 00:00:00,0,,350.0,1.0,,28.7,17.9,
2021-02-17,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2021-02-17 18:00:00,18,,,0.0,,-38.4,-42.6,
2019-11-24,КУЙГА (21937),Республика Саха /Якутия/,21937,КУЙГА,2019-11-24 09:00:00,9,71.0,190.0,3.0,,-36.2,-38.4,
