observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2020-08-04,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2020-08-04 00:00:00,0,,290.0,1.0,,18.7,15.8,11.0
2020-12-08,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2020-12-08 12:00:00,12,,,0.0,,-36.3,-37.2,
2021-10-19,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2021-10-19 15:00:00,15,71.0,120.0,3.0,,-8.8,-10.3,
2019-09-30,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2019-09-30 21:00:00,21,71.0,,0.0,,-0.5,-0.5,
2020-07-14,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2020-07-14 03:00:00,3,5.0,,0.0,,26.4,17.7,
2020-05-04,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2020-05-04 12:00:00,12,,320.0,2.0,,1.6,-11.5,
2020-10-08,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2020-10-08 21:00:00,21,,,0.0,,-0.5,-2.0,
2020-05-18,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2020-05-18 06:00:00,6,,120.0,1.0,,20.2,3.4,
2020-01-01,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2020-01-01 09:00:00,9,,,0.0,,-37.3,-39.5,
2021-05-13,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2021-05-13 15:00:00,15,,,0.0,,2.1,-6.7,
2021-05-17,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2021-05-17 21:00:00,21,,310.0,1.0,,-1.6,-2.5,
2021-06-26,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2021-06-26 09:00:00,9,,,0.0,,29.3,11.8,
2021-07-17,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2021-07-17 18:00:00,18,,,,,,,
2020-06-02,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2020-06-02 21:00:00,21,,90.0,2.0,,13.0,8.2,
2020-04-26,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2020-04-26 18:00:00,18,,,,,,,
2020-07-03,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2020-07-03 03:00:00,3,,320.0,6.0,12.0,16.0,16.0,
2021-12-04,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2021-12-04 03:00:00,3,36.0,120.0,7.0,14.0,-35.6,-39.0,
2020-06-21,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2020-06-21 03:00:00,3,,110.0,2.0,,25.0,17.7,
2020-04-23,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2020-04-23 06:00:00,6,,120.0,3.0,,7.4,-5.0,
2020-06-18,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2020-06-18 06:00:00,6,,120.0,4.0,,29.2,14.2,
2020-10-13,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2020-10-13 06:00:00,6,71.0,320.0,7.0,14.0,-5.1,-5.1,
2021-09-10,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2021-09-10 12:00:00,12,,,0.0,,5.0,0.0,
2021-12-11,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2021-12-11 15:00:00,15,,,,,,,
2021-05-19,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2021-05-19 06:00:00,6,,320.0,1.0,,5.9,-6.3,
2020-04-09,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2020-04-09 18:00:00,18,,120.0,1.0,,0.2,-8.2,
2021-12-05,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2021-12-05 09:00:00,9,,120.0,1.0,,-32.6,-36.2,
2021-06-29,СОГО-ХАЯ (24557),Республика Саха /Якутия/,24557,СОГО-ХАЯ,2021-06-29 18:00:00,18,,,0.0,,15.0,15.0,
