observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2020-02-18,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2020-02-18 03:00:00,3,78.0,220.0,7.0,,-15.0,-17.5,
2021-11-20,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2021-11-20 21:00:00,21,71.0,260.0,3.0,,-22.1,-24.2,
2020-10-04,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2020-10-04 00:00:00,0,2.0,270.0,9.0,13.0,-1.6,-4.7,
2021-08-05,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2021-08-05 06:00:00,6,,90.0,6.0,,8.6,6.4,
2020-12-20,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2020-12-20 06:00:00,6,71.0,260.0,2.0,,-31.6,-34.2,
2021-11-13,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2021-11-13 21:00:00,21,78.0,,0.0,,-21.4,-22.7,
2020-09-05,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2020-09-05 03:00:00,3,21.0,,0.0,,10.4,10.0,
2022-12-09,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2022-12-09 21:00:00,21,71.0,190.0,2.0,,-33.6,-35.0,
2020-06-13,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2020-06-13 06:00:00,6,2.0,60.0,3.0,,6.8,3.5,
2020-08-26,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2020-08-26 21:00:00,21,,250.0,2.0,,0.5,0.5,
2021-04-24,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2021-04-24 21:00:00,21,78.0,280.0,6.0,10.0,-0.6,-4.1,
2021-01-22,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2021-01-22 12:00:00,12,71.0,200.0,14.0,18.0,-38.4,-40.1,
2021-01-11,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2021-01-11 09:00:00,9,71.0,180.0,14.0,18.0,-30.3,-33.2,
2022-10-27,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2022-10-27 06:00:00,6,71.0,230.0,3.0,,-4.7,-6.4,
2022-10-10,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2022-10-10 21:00:00,21,36.0,240.0,10.0,14.0,-7.7,-10.8,
2022-10-12,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2022-10-12 15:00:00,15,36.0,190.0,9.0,14.0,-2.1,-6.8,
2022-02-27,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2022-02-27 12:00:00,12,,210.0,1.0,,-27.6,-29.9,
2022-10-15,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2022-10-15 12:00:00,12,71.0,210.0,13.0,17.0,-5.1,-6.1,
2020-11-08,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2020-11-08 18:00:00,18,,250.0,2.0,,-26.7,-28.6,
2022-10-12,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2022-10-12 12:00:00,12,36.0,190.0,9.0,14.0,-2.0,-6.7,
2020-04-05,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2020-04-05 12:00:00,12,38.0,250.0,17.0,23.0,-10.3,-11.2,
2021-07-31,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2021-07-31 12:00:00,12,,50.0,3.0,,12.3,8.9,
2021-05-04,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2021-05-04 03:00:00,3,10.0,30.0,2.0,,-7.4,-8.7,
