observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2024-11-05,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2024-11-05 18:00:00,18,,,0.0,,-25.8,-2.8,
2024-10-22,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2024-10-22 18:00:00,18,,,,,,,
2024-09-22,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2024-09-22 03:00:00,3,61.0,,0.0,,2.5,1.4,
2024-09-04,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2024-09-04 12:00:00,12,,30.0,1.0,,9.5,8.5,
2022-03-02,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2022-03-02 21:00:00,21,,,0.0,,-34.2,-37.1,
2023-11-01,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2023-11-01 00:00:00,0,71.0,,0.0,,-14.5,-15.7,
2023-08-22,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2023-08-22 21:00:00,21,,130.0,1.0,,5.1,4.9,4.0
2022-05-30,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2022-05-30 03:00:00,3,61.0,80.0,1.0,,6.6,5.5,
2022-11-08,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2022-11-08 15:00:00,15,,,0.0,,-28.7,-31.7,
2022-11-24,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2022-11-24 03:00:00,3,,,0.0,,-25.0,-30.2,
2023-08-31,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2023-08-31 09:00:00,9,,320.0,2.0,,19.3,10.8,
2022-02-12,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2022-02-12 12:00:00,12,,30.0,1.0,,-35.9,-39.8,
2022-04-02,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2022-04-02 09:00:00,9,,330.0,2.0,,-7.1,-19.7,
2022-10-12,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2022-10-12 12:00:00,12,,340.0,2.0,,-6.2,-8.1,
2023-01-28,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2023-01-28 12:00:00,12,,,,,,,
2024-12-20,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2024-12-20 06:00:00,6,,280.0,1.0,,-32.8,-36.7,
2022-01-12,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2022-01-12 18:00:00,18,,,,,,,
2023-07-14,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2023-07-14 03:00:00,3,5.0,220.0,2.0,,25.8,15.1,
2024-06-17,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2024-06-17 18:00:00,18,,70.0,1.0,,9.5,5.8,
2024-01-25,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2024-01-25 21:00:00,21,,,0.0,,-39.2,-43.5,
2022-09-25,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2022-09-25 12:00:00,12,,,0.0,,0.4,-4.3,
2022-12-20,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2022-12-20 18:00:00,18,71.0,240.0,4.0,,-28.5,-32.9,
2023-05-03,ЮГОРЕНОК (31062),Республика Саха /Якутия/,31062,ЮГОРЕНОК,2023-05-03 15:00:00,15,,50.0,2.0,,0.0,-5.7,
