observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2024-12-28,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2024-12-28 18:00:00,18,,,0.0,,-53.1,-58.1,
2023-09-02,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2023-09-02 03:00:00,3,,20.0,2.0,,2.7,0.9,
2022-03-08,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2022-03-08 00:00:00,0,,,0.0,,-34.6,-40.4,
2023-04-22,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2023-04-22 03:00:00,3,,50.0,1.0,,1.1,-8.5,
2023-07-19,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2023-07-19 09:00:00,9,,320.0,3.0,,24.7,6.7,
2024-11-29,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2024-11-29 15:00:00,15,,,0.0,,-36.5,-40.0,
2024-06-08,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2024-06-08 06:00:00,6,,,,,,,
2022-08-20,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2022-08-20 12:00:00,12,,110.0,1.0,,11.8,8.0,
2022-06-24,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2022-06-24 09:00:00,9,,170.0,3.0,,17.0,5.9,
2022-05-20,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2022-05-20 00:00:00,0,,,,,,,
2022-07-10,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2022-07-10 18:00:00,18,,120.0,1.0,,14.0,10.4,
2022-03-22,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2022-03-22 00:00:00,0,85.0,270.0,5.0,,-14.1,-17.6,
2022-11-10,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2022-11-10 09:00:00,9,,270.0,2.0,,-32.3,-35.9,
2023-05-02,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2023-05-02 21:00:00,21,,,0.0,,-4.6,-9.4,
2023-09-02,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2023-09-02 00:00:00,0,2.0,50.0,1.0,,0.8,-0.6,
2023-03-08,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2023-03-08 21:00:00,21,,,0.0,,-49.4,-53.0,
2024-08-29,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2024-08-29 15:00:00,15,,,0.0,,3.0,2.5,
2024-01-02,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2024-01-02 15:00:00,15,,,0.0,,-50.3,-54.2,
2022-02-09,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2022-02-09 15:00:00,15,,,0.0,,-49.3,-54.4,
2023-02-17,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2023-02-17 15:00:00,15,2.0,,0.0,,-47.5,-51.1,
2024-10-07,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2024-10-07 12:00:00,12,,,0.0,,-9.8,-11.0,
2024-03-19,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2024-03-19 15:00:00,15,,,,,,,
2022-08-05,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2022-08-05 12:00:00,12,,90.0,1.0,,13.6,11.8,
2022-01-02,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2022-01-02 12:00:00,12,2.0,,0.0,,-41.5,-47.1,
2023-02-25,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2023-02-25 06:00:00,6,,,0.0,,-38.4,-42.7,
2023-08-22,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2023-08-22 09:00:00,9,80.0,90.0,3.0,,6.9,5.3,
2024-08-21,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2024-08-21 03:00:00,3,,,,,,,
2023-09-12,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2023-09-12 15:00:00,15,,110.0,1.0,,-6.0,-6.8,
2023-09-11,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2023-09-11 18:00:00,18,,,0.0,,-0.4,-1.6,
2022-11-27,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2022-11-27 09:00:00,9,,,0.0,,-49.4,-53.0,
2023-04-12,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2023-04-12 00:00:00,0,,180.0,1.0,,-14.8,-22.9,
2024-01-19,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2024-01-19 15:00:00,15,,,0.0,,-50.1,-54.2,
2023-11-18,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2023-11-18 18:00:00,18,,,0.0,,-37.9,-41.5,
2022-07-11,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2022-07-11 21:00:00,21,,180.0,2.0,7.0,21.9,12.5,
2023-03-14,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2023-03-14 00:00:00,0,85.0,270.0,2.0,,-22.2,-25.4,
2023-06-09,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2023-06-09 21:00:00,21,,140.0,1.0,,13.0,5.3,
2024-10-22,ДЕЛЯНКИР (24691),Республика Саха /Якутия/,24691,ДЕЛЯНКИР,2024-10-22 00:00:00,0,71.0,90.0,1.0,,-17.2,-19.8,
