observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2023-09-03,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2023-09-03 15:00:00,15,80.0,230.0,4.0,,2.3,0.1,
2024-03-13,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2024-03-13 06:00:00,6,2.0,40.0,3.0,,-24.7,-26.4,
2024-11-27,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2024-11-27 15:00:00,15,,,,,,,
2024-04-14,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2024-04-14 15:00:00,15,,130.0,1.0,,-22.5,-24.2,
2023-01-17,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2023-01-17 00:00:00,0,71.0,40.0,5.0,,-31.3,-33.3,
2023-08-14,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2023-08-14 06:00:00,6,,60.0,3.0,,14.3,8.0,
2023-02-27,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2023-02-27 15:00:00,15,37.0,210.0,8.0,12.0,-29.0,-31.3,
2024-04-28,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2024-04-28 06:00:00,6,,120.0,2.0,,-11.2,-16.3,
2023-07-21,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2023-07-21 03:00:00,3,,290.0,7.0,12.0,9.9,3.7,
2023-04-22,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2023-04-22 15:00:00,15,,170.0,2.0,,-20.1,-21.1,
2023-06-02,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2023-06-02 09:00:00,9,,260.0,3.0,10.0,13.3,-1.0,
2024-08-25,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2024-08-25 03:00:00,3,,50.0,4.0,,8.7,8.2,
2023-09-08,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2023-09-08 21:00:00,21,80.0,20.0,7.0,11.0,5.1,3.9,
2023-08-30,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2023-08-30 03:00:00,3,61.0,240.0,3.0,,11.1,9.7,
2024-08-15,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2024-08-15 00:00:00,0,,280.0,8.0,10.0,11.0,3.4,2.0
2024-07-01,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2024-07-01 21:00:00,21,2.0,80.0,2.0,,5.1,4.9,
2023-09-02,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2023-09-02 21:00:00,21,,250.0,4.0,,3.4,1.0,
2023-06-28,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2023-06-28 15:00:00,15,,10.0,3.0,,4.2,2.2,
2023-02-24,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2023-02-24 06:00:00,6,,180.0,2.0,,-31.8,-34.5,
2023-02-15,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2023-02-15 21:00:00,21,78.0,220.0,7.0,10.0,-25.8,-27.6,
2024-03-21,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2024-03-21 21:00:00,21,,250.0,2.0,,-25.7,-27.8,
2024-03-23,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2024-03-23 12:00:00,12,,160.0,2.0,,-20.2,-23.7,
2024-06-13,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2024-06-13 09:00:00,9,,360.0,7.0,,5.2,2.2,
2024-10-11,ТИКСИ (21824),Республика Саха /Якутия/,21824,ТИКСИ,2024-10-11 18:00:00,18,,200.0,3.0,,-3.9,-6.8,
