observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2024-08-28,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-08-28 12:00:00,12,,290.0,2.0,,1.9,-0.3,
2024-12-27,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-12-27 12:00:00,12,36.0,10.0,7.0,12.0,-30.3,-33.5,
2024-10-24,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-10-24 12:00:00,12,,30.0,1.0,,-15.1,-16.9,
2024-01-27,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-01-27 06:00:00,6,36.0,300.0,9.0,11.0,-19.8,-19.8,
2023-04-06,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-04-06 03:00:00,3,,120.0,3.0,,-21.5,-24.4,
2024-02-01,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-02-01 21:00:00,21,,330.0,6.0,,-20.4,-20.5,
2024-07-23,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-07-23 09:00:00,9,,290.0,4.0,,5.2,2.8,
2023-10-27,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-10-27 09:00:00,9,,180.0,3.0,,-11.3,-11.4,
2024-04-21,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-04-21 15:00:00,15,2.0,60.0,12.0,17.0,-13.8,-13.9,
2024-03-09,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-03-09 15:00:00,15,,10.0,1.0,,-29.7,-29.8,
2024-11-16,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-11-16 00:00:00,0,70.0,90.0,8.0,11.0,-13.0,-14.8,
2024-08-12,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-08-12 00:00:00,0,,340.0,6.0,13.0,2.1,0.8,1.0
2024-10-09,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-10-09 09:00:00,9,,240.0,4.0,,-2.0,-7.5,
