observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2021-06-10,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-06-10 12:00:00,12,,20.0,1.0,,23.4,7.9,
2019-10-19,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2019-10-19 18:00:00,18,,350.0,3.0,,0.4,-2.6,
2019-12-03,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2019-12-03 00:00:00,0,10.0,,0.0,,-42.6,-46.2,
2021-07-03,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-07-03 06:00:00,6,,,,,,,
2020-03-07,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-03-07 15:00:00,15,71.0,240.0,2.0,,-11.3,-14.8,
2020-09-23,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-09-23 06:00:00,6,2.0,160.0,1.0,,9.2,5.2,
2020-03-09,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-03-09 00:00:00,0,71.0,200.0,4.0,,-11.6,-13.6,
2021-05-24,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-05-24 06:00:00,6,,110.0,4.0,,15.2,-6.0,
2020-11-21,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-11-21 12:00:00,12,85.0,210.0,4.0,,-8.0,-10.3,
2020-08-01,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-08-01 12:00:00,12,,20.0,3.0,,24.1,9.2,
2021-12-10,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-12-10 18:00:00,18,2.0,,0.0,,-21.9,-25.2,
2020-02-15,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-02-15 06:00:00,6,85.0,200.0,4.0,,-7.0,-9.9,
2020-11-12,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-11-12 21:00:00,21,,210.0,3.0,,-4.5,-7.2,
2022-11-10,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-11-10 09:00:00,9,85.0,180.0,3.0,,-3.5,-6.3,
2022-08-15,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-08-15 15:00:00,15,,,0.0,,11.3,10.1,
2020-12-02,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-12-02 12:00:00,12,85.0,200.0,5.0,,-9.5,-12.1,
2021-01-11,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-01-11 06:00:00,6,2.0,310.0,1.0,,-30.2,-33.2,
2022-01-08,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-01-08 00:00:00,0,71.0,,0.0,,-21.9,-24.5,
2020-11-06,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-11-06 03:00:00,3,85.0,20.0,4.0,,-5.9,-7.8,
