observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2022-01-09,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-01-09 18:00:00,18,71.0,190.0,3.0,,-26.9,-30.2,
2019-12-14,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2019-12-14 03:00:00,3,85.0,220.0,7.0,13.0,-8.4,-9.9,
2021-11-06,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2021-11-06 12:00:00,12,73.0,240.0,5.0,10.0,-11.9,-13.4,
2022-10-19,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-10-19 00:00:00,0,86.0,300.0,3.0,,-4.5,-7.0,
2022-10-13,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-10-13 03:00:00,3,84.0,230.0,3.0,,-0.1,-0.7,
2022-05-08,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-05-08 03:00:00,3,84.0,230.0,9.0,15.0,-0.6,-1.4,
2021-04-09,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2021-04-09 18:00:00,18,,320.0,4.0,,-15.6,-21.6,
2020-08-25,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-08-25 03:00:00,3,4.0,60.0,3.0,,14.1,3.6,
2022-03-16,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-03-16 12:00:00,12,,120.0,3.0,,-18.1,-22.3,
2020-11-28,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-11-28 03:00:00,3,70.0,340.0,1.0,,-19.4,-22.0,
2021-07-20,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2021-07-20 15:00:00,15,4.0,160.0,4.0,,18.0,12.2,
2020-03-31,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-03-31 15:00:00,15,2.0,290.0,3.0,,-8.4,-16.7,
2020-09-04,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-09-04 18:00:00,18,10.0,260.0,1.0,,12.1,11.8,
2022-04-11,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-04-11 12:00:00,12,,10.0,1.0,,-0.0,-17.0,
2020-09-21,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-09-21 12:00:00,12,,310.0,2.0,,8.7,3.6,
2022-11-23,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-11-23 18:00:00,18,,50.0,1.0,,-32.5,-36.4,
2021-06-07,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2021-06-07 06:00:00,6,,230.0,7.0,,11.3,-6.7,
