observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2020-02-02,НЕРА (24585),Республика Саха /Якутия/,24585,НЕРА,2020-02-02 03:00:00,3,,,0.0,,-48.4,-51.2,
2020-02-13,НЕРА (24585),Республика Саха /Якутия/,24585,НЕРА,2020-02-13 18:00:00,18,71.0,,0.0,,-37.0,-39.8,
2020-07-04,ИНДИГИРКА (24585),Республика Саха /Якутия/,24585,ИНДИГИРКА,2020-07-04 03:00:00,3,,90.0,5.0,12.0,10.4,1.6,
2020-05-02,НЕРА (24585),Республика Саха /Якутия/,24585,НЕРА,2020-05-02 15:00:00,15,85.0,90.0,4.0,,-1.3,-2.2,
2020-01-10,ИНДИГИРКА (24585),Республика Саха /Якутия/,24585,ИНДИГИРКА,2020-01-10 15:00:00,15,10.0,,0.0,,-50.6,-53.7,
2020-04-29,НЕРА (24585),Республика Саха /Якутия/,24585,НЕРА,2020-04-29 15:00:00,15,,60.0,3.0,,-3.4,-8.2,
2020-08-08,НЕРА (24585),Республика Саха /Якутия/,24585,НЕРА,2020-08-08 09:00:00,9,4.0,90.0,5.0,11.0,16.9,9.2,
2020-07-20,ИНДИГИРКА (24585),Республика Саха /Якутия/,24585,ИНДИГИРКА,2020-07-20 09:00:00,9,,40.0,5.0,11.0,23.4,13.3,
2020-12-28,НЕРА (24585),Республика Саха /Якутия/,24585,НЕРА,2020-12-28 00:00:00,0,,,0.0,,-51.7,-55.2,
2020-05-16,НЕРА (24585),Республика Саха /Якутия/,24585,НЕРА,2020-05-16 06:00:00,6,,20.0,5.0,10.0,16.1,-3.1,
2019-10-13,ИНДИГИРКА (24585),Республика Саха /Якутия/,24585,ИНДИГИРКА,2019-10-13 18:00:00,18,71.0,240.0,2.0,,-7.7,-9.9,
2020-10-13,НЕРА (24585),Республика Саха /Якутия/,24585,НЕРА,2020-10-13 09:00:00,9,,80.0,4.0,,3.1,0.2,
2020-10-23,ИНДИГИРКА (24585),Республика Саха /Якутия/,24585,ИНДИГИРКА,2020-10-23 06:00:00,6,71.0,30.0,3.0,,-4.9,-5.9,
