observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2024-08-23,БОРОГОНЦЫ (24761),Республика Саха /Якутия/,24761,БОРОГОНЦЫ,2024-08-23 12:00:00,12,,,,,,,
2020-12-25,БОРОГОНЦЫ (24761),Республика Саха /Якутия/,24761,БОРОГОНЦЫ,2020-12-25 12:00:00,12,,,22.0,,,,
2022-09-07,БОРОГОНЦЫ (24761),Республика Саха /Якутия/,24761,БОРОГОНЦЫ,2022-09-07 06:00:00,6,,,,,,,
2022-01-10,БОРОГОНЦЫ (24761),Республика Саха /Якутия/,24761,БОРОГОНЦЫ,2022-01-10 00:00:00,0,,,,,,,
2023-02-07,БОРОГОНЦЫ (24761),Республика Саха /Якутия/,24761,БОРОГОНЦЫ,2023-02-07 18:00:00,18,,,,,,,
2021-08-30,БОРОГОНЦЫ (24761),Республика Саха /Якутия/,24761,БОРОГОНЦЫ,2021-08-30 12:00:00,12,,,62.0,,,,
2023-04-22,БОРОГОНЦЫ (24761),Республика Саха /Якутия/,24761,БОРОГОНЦЫ,2023-04-22 00:00:00,0,,,,,,,
2020-03-23,БОРОГОНЦЫ (24761),Республика Саха /Якутия/,24761,БОРОГОНЦЫ,2020-03-23 12:00:00,12,,,,,,,
2021-05-04,БОРОГОНЦЫ (24761),Республика Саха /Якутия/,24761,БОРОГОНЦЫ,2021-05-04 06:00:00,6,,,,,,,
2020-04-13,БОРОГОНЦЫ (24761),Республика Саха /Якутия/,24761,БОРОГОНЦЫ,2020-04-13 12:00:00,12,,,,,,,
2021-02-09,БОРОГОНЦЫ (24761),Республика Саха /Якутия/,24761,БОРОГОНЦЫ,2021-02-09 12:00:00,12,,,,,,,
2021-07-24,БОРОГОНЦЫ (24761),Республика Саха /Якутия/,24761,БОРОГОНЦЫ,2021-07-24 06:00:00,6,,,,,,,
2023-05-09,БОРОГОНЦЫ (24761),Республика Саха /Якутия/,24761,БОРОГОНЦЫ,2023-05-09 00:00:00,0,,,,,,,
2023-05-14,БОРОГОНЦЫ (24761),Республика Саха /Якутия/,24761,БОРОГОНЦЫ,2023-05-14 06:00:00,6,,,,,,,
